LC_Up_Regulated_Genes,Signalling,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3
Ldb3,LC_DCT_LC_UP,27.91,27.13,18.26,8.09,7.02,105.26,108.48,100.28
Ldb2,LC_DCT_LC_UP,3.45,3.54,2.24,6.79,6.56,18.07,23.54,14.88
Lctl,LC_DCT_LC_UP,0.7,0.63,0.28,0.11,0.31,5.69,4.68,4.47
Lcat,LC_DCT_LC_UP,0.11,0.21,0.28,0.68,0.95,16.04,20.65,15.29
Lbp,LC_DCT_LC_UP,6.48,6.3,3.16,17.45,14.43,83.13,92.44,83.94
Layn,LC_DCT_LC_UP,0.57,0.82,0.45,2.96,2.22,9.26,9.8,9.48
Larp6,LC_DCT_LC_UP,1.01,1.31,0.53,1.97,1.57,7.23,8,7.49
Lamb2,LC_DCT_LC_UP,3.96,3.52,2.4,18.07,15.07,54.65,53.7,49.53
Krt8,LC_DCT_LC_UP,4.19,3.55,2.19,0.76,0.42,16.76,20.37,15.38
Klhl41,LC_DCT_LC_UP,17.12,16.79,14.65,4.48,4.43,90.32,79.36,91.46
Klhl40,LC_DCT_LC_UP,4.37,4.05,2.16,1.57,1.43,29.96,33.32,27.49
Klhdc9,LC_DCT_LC_UP,0.11,0.14,0.22,0.82,0.52,3.1,5.18,4.24
Klhdc1,LC_DCT_LC_UP,6.54,6.07,4.13,15.24,18.67,49.91,49.06,47.6
Klf9,LC_DCT_LC_UP,8.95,8.36,11.45,34.72,34.19,83.22,91.22,79.51
Klf6,LC_DCT_LC_UP,28.16,26.45,35.62,43.82,46.5,104.45,104.71,106.24
Klf2,LC_DCT_LC_UP,7.07,6.03,7.01,12.47,11.68,312.37,385.03,295.82
Klf15,LC_DCT_LC_UP,4.63,3.88,3.99,3.98,3.41,36.85,34.26,31.61
Kirrel3,LC_DCT_LC_UP,0.11,0,0.03,0.36,0.3,3.73,4.3,2.63
Kirrel,LC_DCT_LC_UP,0.93,0.83,0.5,0.67,0.41,4.31,6.19,4.85
Khdrbs3,LC_DCT_LC_UP,0.65,0.82,0.54,2.46,2.66,8.85,7.31,10.66
Kcnma1,LC_DCT_LC_UP,0.31,0.16,0.27,0.35,0.18,16.76,19.49,17.77
Kcnj12,LC_DCT_LC_UP,0.34,0.12,0.38,0.52,0.52,5.23,4.5,4.35
Kcnj11,LC_DCT_LC_UP,0.26,0.17,0.13,0.17,0,2.52,3.02,2.9
Kcne1l,LC_DCT_LC_UP,0.77,0.3,0.29,0.91,0.5,38.96,47.35,34.97
Kcnc4,LC_DCT_LC_UP,0.23,0.28,0.56,1.08,0.72,12.78,12.94,11.42
Kcnc1,LC_DCT_LC_UP,0.19,0.03,0.33,0.47,0.21,9.89,9.29,7.73
Kcna6,LC_DCT_LC_UP,0.58,0.48,0.61,1,1.09,5.04,6.02,5.36
Jund,LC_DCT_LC_UP,31.16,27.42,35.33,27.47,27.74,132.24,161.37,136.39
Junb,LC_DCT_LC_UP,181.69,184.16,207.08,171.83,138.49,1832.45,2054.23,1901.27
Jun,LC_DCT_LC_UP,32.68,32.87,39.3,23.38,19.59,681.55,801.94,681.9
Jsrp1,LC_DCT_LC_UP,12.3,12.25,4.82,3.76,2.39,58.91,71.07,67.39
Jam3,LC_DCT_LC_UP,1.68,2.03,1.84,4.94,5.08,26.45,28.73,27.77
Itpr2,LC_DCT_LC_UP,3.23,2.78,2.64,7.49,6.04,17.7,19.45,16.83
Itpr1,LC_DCT_LC_UP,0.86,0.64,0.51,1.07,0.83,9,11.08,11.11
Itm2c,LC_DCT_LC_UP,46.38,46.6,39.69,72.37,69.32,164.36,188.85,158.8
Itih5l-ps,LC_DCT_LC_UP,0.02,0.13,0.14,0.04,0.64,21.19,23.67,17.72
Itih2,LC_DCT_LC_UP,0.11,0.13,0.07,0.54,0.59,3.92,4.67,4.55
Itgbl1,LC_DCT_LC_UP,3.95,4.33,2.47,16.97,17.19,44.94,44.36,44.28
Itgb5,LC_DCT_LC_UP,11.12,11.72,10.69,19.41,17.47,60.34,73.64,59.42
Itgb1bp2,LC_DCT_LC_UP,8.79,9.51,4.25,3.89,3.14,24.16,32.09,25.08
Itga9,LC_DCT_LC_UP,0.51,0.51,0.49,1.21,0.95,5.36,5.69,4.05
Itga5,LC_DCT_LC_UP,1.46,1.41,1.21,5.31,4.64,13.45,16.73,14.09
Itga10,LC_DCT_LC_UP,0.18,0.12,0.09,0.2,0.1,10.52,11.22,10.92
Itga1,LC_DCT_LC_UP,0.95,1.01,0.98,1.15,0.99,5.45,5.03,4.78
Isl1,LC_DCT_LC_UP,0.43,1.21,0.55,0.46,0.24,2.59,5.68,4.51
Irs2,LC_DCT_LC_UP,2.82,2.34,2.61,2.38,2.07,26.3,34.53,26.25
Irgm1,LC_DCT_LC_UP,6.02,5.62,3.69,7.27,7.17,21.14,25.7,24.66
Irf2bpl,LC_DCT_LC_UP,10.64,11.42,11.35,13.94,13.07,35.31,34.66,33.29
Irf1,LC_DCT_LC_UP,5.59,4.93,2.89,8.94,8.08,179.03,194.71,166.54
Iqsec1,LC_DCT_LC_UP,8.46,8.76,6.86,10.51,10.82,66.1,64.29,69.86
Inppl1,LC_DCT_LC_UP,2.59,2.53,2.68,2.75,2.35,10.93,12.66,9.67
Inpp1,LC_DCT_LC_UP,2.46,1.76,2.96,4.39,3.9,12.57,13,9.84
Inmt,LC_DCT_LC_UP,7.24,7.29,0.43,0.54,0.21,23.42,25.59,22.74
Il6,LC_DCT_LC_UP,0.14,0.39,0.07,0.32,0.21,10.95,8.87,10.66
Il17f,LC_DCT_LC_UP,0.16,0.39,0.29,0.47,0.32,3.86,2.7,4.83
Il17d,LC_DCT_LC_UP,0.94,0.87,0.94,2.06,2.19,10.32,10.22,9.51
Il16,LC_DCT_LC_UP,1.17,1.11,0.92,6.61,5.84,20.62,22.7,20.42
Igsf1,LC_DCT_LC_UP,0.11,0.04,0.07,0.43,0.35,2.83,4.66,3.19
Igfbp6,LC_DCT_LC_UP,61.18,59.93,20.95,179.03,175.38,474.09,549.43,485.73
Igfbp5,LC_DCT_LC_UP,14.46,14.32,11.24,32.19,34.21,136.21,137.32,142.37
Igf2,LC_DCT_LC_UP,4.23,6,2.37,15.26,12.16,90.66,92.12,81.98
Ifnar2,LC_DCT_LC_UP,10.4,12.04,7.22,17.34,18.51,56.91,56.94,49.34
Ifitm10,LC_DCT_LC_UP,19.15,19.66,22.37,15.33,15.82,62.13,70.68,58.94
Ifi27l2a,LC_DCT_LC_UP,331.38,340.32,124.94,394.87,339.98,1092.08,1331.01,1102.67
Ier5l,LC_DCT_LC_UP,1.44,1.45,0.77,1,1.03,10.46,12.55,10.88
Ier3,LC_DCT_LC_UP,58.16,51.47,46.08,41.99,39.51,794.07,775.26,817.26
Ier2,LC_DCT_LC_UP,89.3,85.26,93.56,121.99,108.64,1460.6,1858.65,1496.94
Idua,LC_DCT_LC_UP,2.06,1.99,1.93,3.99,3.93,9.64,13.49,11.97
Idh2,LC_DCT_LC_UP,22.43,21.31,15.71,70.19,63.72,209.22,222.44,192.93
Id3,LC_DCT_LC_UP,156.87,146.17,191.93,130.28,121.5,801.55,915.25,790.12
Id1,LC_DCT_LC_UP,106.24,103.05,121,132.19,115.73,883.74,1044.55,902.88
Icam1,LC_DCT_LC_UP,5.05,5.58,4.34,11.74,9.82,46.06,50.91,43.31
Ibsp,LC_DCT_LC_UP,0.07,0.04,0.28,0.02,0,30.94,28.47,30.77
Htra4,LC_DCT_LC_UP,0.18,0.25,0,0.3,0.04,15.85,22.01,16.16
Htatsf1,LC_DCT_LC_UP,14.97,15.78,17.79,23.93,22.82,52.71,65.75,54.49
Hspg2,LC_DCT_LC_UP,7.38,7.92,5.54,10.75,8.51,32.45,30.58,31.6
Hspb7,LC_DCT_LC_UP,5.53,4.36,2.96,5.64,5.79,61.94,70.69,62.66
Hspb6,LC_DCT_LC_UP,54.02,50.18,27.03,23.11,21.54,468.51,482.59,462.58
Hspb3,LC_DCT_LC_UP,2.63,2.19,2.11,1.36,1.85,15.6,17.87,14.65
Hspb2,LC_DCT_LC_UP,14.04,16.19,9.09,12.87,10.68,114.04,130.49,101.72
Hspa1l,LC_DCT_LC_UP,0.96,0.67,0.55,0.51,0.19,3.98,4.42,4.61
Hspa1a,LC_DCT_LC_UP,13.5,13.06,22.08,43.81,37.44,105.87,134.13,102.92
Hsf4,LC_DCT_LC_UP,1.15,1.01,0.97,0.45,0.35,6.28,6.7,5.17
Hsd17b11,LC_DCT_LC_UP,2.87,3.3,2.4,5.19,5.64,16.81,14.12,17.35
Hsd11b1,LC_DCT_LC_UP,6.67,5.4,4.33,12.24,10.4,35.6,36.76,37.44
Hs3st3b1,LC_DCT_LC_UP,2.07,1.74,3.17,3.71,3.79,14.43,11.11,13.62
Hs3st3a1,LC_DCT_LC_UP,0.12,0.17,0.14,0.32,0.38,9.18,10.2,8.72
Hs3st1,LC_DCT_LC_UP,4.09,4.38,4.29,6.99,6.79,17.4,20.48,17.86
Hrct1,LC_DCT_LC_UP,2.52,2.26,1.39,9.72,10.78,59.35,62.43,56.49
Hrc,LC_DCT_LC_UP,6.37,5.87,4.44,2.44,2.57,32.67,35.44,33.17
Hrasls,LC_DCT_LC_UP,1.45,2.04,0.71,0.41,0.58,7.6,7.14,7.7
Hpn,LC_DCT_LC_UP,1.39,2.81,0.99,1.63,2.79,7.97,12.07,8.93
Hoxd3os1,LC_DCT_LC_UP,3.42,1.34,2.46,3.21,5.2,10.15,14.66,12.16
Hmcn2,LC_DCT_LC_UP,1.41,1.25,0.59,1.77,1.43,8.19,10.14,8.06
Hivep2,LC_DCT_LC_UP,1.23,1.18,1.3,2.06,1.97,7.7,7.5,6.68
Hist1h4h,LC_DCT_LC_UP,12.09,7.05,6.89,5.6,5.6,28.78,36.66,29.84
Hist1h2bl,LC_DCT_LC_UP,0.51,1.64,0,0.66,0,12.31,8.49,15.66
Hip1,LC_DCT_LC_UP,2.4,2.4,2.72,3.37,3.2,21.29,19.65,24.76
Hhipl2,LC_DCT_LC_UP,0,0,0.06,0.19,0.09,2.02,1.93,2
Hhatl,LC_DCT_LC_UP,4.74,4.9,2.85,2.59,2.03,22.51,24.54,21.51
Hfe2,LC_DCT_LC_UP,4.11,4.5,3.33,1.79,1.53,20.84,22.44,20.98
Helz2,LC_DCT_LC_UP,0.29,0.27,0.27,0.27,0.19,2.72,2.74,2.81
Hdgfrp2,LC_DCT_LC_UP,7.96,8.71,9.09,11.83,10.07,35.65,36.61,34.65
Hbegf,LC_DCT_LC_UP,9.94,11,10.75,6.87,7.44,91.4,88.41,88.41
Has1,LC_DCT_LC_UP,0.38,0.47,0.59,0.53,0.39,6.3,7.59,6.16
Hapln3,LC_DCT_LC_UP,0.37,0.37,0.21,1.26,1.54,6.19,8.75,8.55
Hapln1,LC_DCT_LC_UP,0.01,0.03,0.04,0.15,0.05,17.79,13.18,18.22
H2-Q10,LC_DCT_LC_UP,1.96,2.14,1.04,2.75,1.98,9.58,10.68,10.01
Gstt1,LC_DCT_LC_UP,14.17,14.4,6.11,25.44,21.08,104.04,120.6,101.86
Gstp2,LC_DCT_LC_UP,21.05,15.67,8.45,12.09,12.22,62.8,69.38,63.48
Gstm7,LC_DCT_LC_UP,2.91,2.51,2.52,1.47,0.98,17.12,15.42,12.78
Gstm5,LC_DCT_LC_UP,130.06,128.26,116.52,142.19,140.93,491.07,552.23,470.59
Gstm1,LC_DCT_LC_UP,104.62,112.52,66.69,141.12,145.86,409.39,403.88,374.01
Gsn,LC_DCT_LC_UP,361.95,356.05,305.71,1212.15,1148.89,8641.73,9983.33,8323.43
Grm4,LC_DCT_LC_UP,0.05,0.06,0.12,1.03,0.94,4.5,5.46,4.32
Gria1,LC_DCT_LC_UP,0.04,0,0.03,0.05,0.09,2.67,3.25,2.65
Grem1,LC_DCT_LC_UP,1.46,1.33,1.8,0.45,0.31,8.63,7.68,8.91
Grb14,LC_DCT_LC_UP,4.81,5.28,4.32,4.68,4.77,74.44,70.24,64.98
Gramd1b,LC_DCT_LC_UP,1.92,0.85,1.87,1.23,2.37,7.95,8.19,9.77
Gpx1,LC_DCT_LC_UP,363.08,350.06,303.53,651.56,699.33,2163.34,2551.66,2162.95
Gprasp2,LC_DCT_LC_UP,0.87,0.41,0.21,0.93,0.27,4.4,6.28,5.28
Gpm6b,LC_DCT_LC_UP,5.13,5.58,5.4,20.04,21,65.74,68.24,61.42
Gpc6,LC_DCT_LC_UP,1.88,2.15,2.61,2.93,2.79,36.56,42.05,37.43
Gng8,LC_DCT_LC_UP,0.52,0.75,1.01,3.9,3.99,9.15,15.75,10.79
Gnas,LC_DCT_LC_UP,95.43,91.42,123.01,217.29,208.54,718.77,843.24,719.08
Gnai2,LC_DCT_LC_UP,44.64,45.35,30.32,51.34,55.12,118.18,133,121.6
Gmpr,LC_DCT_LC_UP,8.24,8.33,6.86,5.67,5.4,44.22,51.86,41.23
Gm9800,LC_DCT_LC_UP,0.61,0.96,0.65,10.54,6.21,77.46,41.38,63.53
Gm9770,LC_DCT_LC_UP,0,0,0,0.33,0,2.86,5.27,2.73
Gm9625,LC_DCT_LC_UP,0.12,0,0.44,0.55,0.6,14.48,20.43,9.09
Gm9008,LC_DCT_LC_UP,0.06,0.16,0.13,0.09,0.06,5.2,6.45,5.18
Gm8730,LC_DCT_LC_UP,1.32,0,0.38,0.55,1.4,79.31,73.74,77.33
Gm8407,LC_DCT_LC_UP,0,0,0,0.15,0,3.08,3.55,2.38
Gm7879,LC_DCT_LC_UP,0,0,0,0,0.31,5.74,7.41,4.43
Gm7809,LC_DCT_LC_UP,0,0,0,0,0,4.84,5.38,7.52
Gm7497,LC_DCT_LC_UP,0,0,0.16,0.42,0.3,7.16,6.83,5.23
Gm7293,LC_DCT_LC_UP,0.05,0.08,0.15,0.05,0.1,10.84,10.46,9.56
Gm6969,LC_DCT_LC_UP,0,0,0.69,1.1,0,43.2,63.12,59.6
Gm6768,LC_DCT_LC_UP,0,0,0.29,0,0,6.18,9.29,6.37
Gm6644,LC_DCT_LC_UP,0,0,0.08,0.17,0.04,18.17,18.23,12.73
Gm6206,LC_DCT_LC_UP,0,0,0,1.05,0.4,5.19,7.42,5.35
Gm5979,LC_DCT_LC_UP,0.17,0,0,0,0,4.53,2.51,6.22
Gm5436,LC_DCT_LC_UP,0.32,0,0.49,0.1,0,6.2,4.34,3.76
Gm525,LC_DCT_LC_UP,0.18,0.25,0.16,0.52,0.17,275.32,275.48,264.09
Gm4737,LC_DCT_LC_UP,0,0,0.81,0,0,18.13,18.79,16.01
Gm4734,LC_DCT_LC_UP,0.44,0.19,0.44,0.36,0.27,2.39,3.86,2.6
Gm4617,LC_DCT_LC_UP,30.57,13.18,65.84,76.95,146.66,360.78,426.89,311.19
Gm4468,LC_DCT_LC_UP,3.28,4,0.9,2.41,2.58,20.3,9.9,14.64
Gm43590,LC_DCT_LC_UP,0,8.48,1.14,6.44,8.95,26.15,26.49,26.05
Gm43289,LC_DCT_LC_UP,0.61,0.19,0.3,0.4,0.52,5.46,5.96,5.6
Gm43263,LC_DCT_LC_UP,0.52,0.22,0,0.19,0,3.99,4.75,3.08
Gm43151,LC_DCT_LC_UP,0.28,0,0,0.68,0.52,3.7,3.01,5.09
Gm43076,LC_DCT_LC_UP,0.62,0.31,0.47,0.61,0.47,20.26,17.78,22.28
Gm43063,LC_DCT_LC_UP,0.44,0.2,1.66,0.89,1.42,7.48,5.42,8
Gm42731,LC_DCT_LC_UP,0.09,0,0.09,0.16,0.13,1.99,1.82,2.89
Gm42418,LC_DCT_LC_UP,142.36,129.93,31.24,31.6,29.7,420.51,536.89,436.4
Gm38197,LC_DCT_LC_UP,0.2,0.17,0.14,0.23,0.25,5.77,3.92,4.93
Gm38157,LC_DCT_LC_UP,0.14,0.61,0.07,0.38,0.42,4.68,4.67,3.44
Gm38066,LC_DCT_LC_UP,0.14,0,0.05,0.19,0.08,2.11,1.42,2.37
Gm38056,LC_DCT_LC_UP,0.05,0.02,0.11,0.14,0.12,2.75,2.64,3.03
Gm37728,LC_DCT_LC_UP,0.37,0.47,0.13,0.92,1.22,9.15,9.54,9.47
Gm37385,LC_DCT_LC_UP,0,8.48,1.14,6.44,8.95,26.15,26.49,26.05
Gm37376,LC_DCT_LC_UP,2443.78,2417.53,2227.53,2871.29,3282.68,15588.41,14383.82,17029.85
Gm37375,LC_DCT_LC_UP,0,8.48,1.14,6.44,8.95,26.15,26.49,26.05
Gm37352,LC_DCT_LC_UP,0.52,0.37,0.3,1.6,0.77,10.32,12.49,10.33
Gm37324,LC_DCT_LC_UP,0.72,0.82,2.31,3.53,2.93,10.67,13.31,11.38
Gm37140,LC_DCT_LC_UP,0.13,0,0.35,1.09,0.9,12.92,8.24,11.47
Gm36970,LC_DCT_LC_UP,0.04,0,0,0.06,0.48,4.99,4.46,4.11
Gm29245,LC_DCT_LC_UP,0.05,0,0.21,0.31,0.15,3.03,2.4,2.72
Gm29216,LC_DCT_LC_UP,5374.31,5490.52,5931.37,5997.47,5836.26,23026.55,21312.74,23719.25
Gm29157,LC_DCT_LC_UP,0,0,0,0.25,0,3.31,2.61,2.93
Gm28661,LC_DCT_LC_UP,284.72,176.01,306.34,715.06,653.66,3246.79,2891.12,2620.26
Gm28592,LC_DCT_LC_UP,6.72,3.02,5.49,3.15,0,33.53,50.29,27.19
Gm28586,LC_DCT_LC_UP,0.4,0,1.52,0.19,0.36,4.04,5.56,5.91
Gm28437,LC_DCT_LC_UP,3136.73,3224.1,3555.64,2641.99,2484.28,14516.73,12763.3,14296.98
Gm28153,LC_DCT_LC_UP,0,0,0.28,0.08,0.14,1.31,2.86,1.73
Gm28017,LC_DCT_LC_UP,373.85,342.79,428.32,547.49,512.6,3267.17,3198.99,3157.17
Gm27956,LC_DCT_LC_UP,8.89,4,16.94,7.4,14.22,238.96,100.7,181.57
Gm27903,LC_DCT_LC_UP,19.54,6.77,15.09,45.53,41.81,154.75,267.18,142.3
Gm27896,LC_DCT_LC_UP,40.16,34.38,65,33.97,37.71,288.88,200.8,275.67
Gm27826,LC_DCT_LC_UP,23.51,26.78,46.92,38.31,53.07,356.71,282.86,370.05
Gm27754,LC_DCT_LC_UP,102.18,105.03,97.14,131.07,202.04,447.41,443.5,727.02
Gm27316,LC_DCT_LC_UP,21.22,10.39,25.07,11.52,17.46,180.64,132.46,164.45
Gm27202,LC_DCT_LC_UP,0,0,0,0.22,0,2.04,2.02,2.06
Gm26917,LC_DCT_LC_UP,766.61,748.02,352.34,417.99,286.72,1874.31,2334.23,1902.6
Gm26899,LC_DCT_LC_UP,0.27,0.23,0,0.37,0.23,2.91,2.75,2.71
Gm26825,LC_DCT_LC_UP,0,0,0,0.28,0,309.36,335.55,310.76
Gm26740,LC_DCT_LC_UP,0.8,1.5,0.44,1.04,1.18,5.61,4.83,4.9
Gm26674,LC_DCT_LC_UP,0.05,0.26,0.37,0.32,0.25,1.95,3.86,1.96
Gm26318,LC_DCT_LC_UP,28.97,0,22.82,43.37,0,363.88,383.75,408.86
Gm26269,LC_DCT_LC_UP,0,0,49.42,201.06,120.24,486.62,345.88,515.21
Gm26141,LC_DCT_LC_UP,0,0,5.87,8.72,0,65,57,96.69
Gm25960,LC_DCT_LC_UP,134.79,99.06,121.82,228.48,237.94,822.41,828.97,896.1
Gm25735,LC_DCT_LC_UP,21.3,31.69,43.74,49.55,57.35,526.27,352.76,435.22
Gm25640,LC_DCT_LC_UP,20.87,25.68,24.1,19.38,17.72,210.57,147.78,146.84
Gm25574,LC_DCT_LC_UP,5.67,1.64,17.27,3.8,9.03,78.51,33.55,57.52
Gm25535,LC_DCT_LC_UP,284.92,210.11,222.21,329.86,325.88,670.94,1082.61,705.58
Gm25240,LC_DCT_LC_UP,44.86,48.46,50.79,109.99,86.62,363.9,433.5,385.87
Gm25197,LC_DCT_LC_UP,578.78,646.42,717.58,887.71,799.29,2937.03,2927.57,2697.99
Gm25190,LC_DCT_LC_UP,66.28,60.49,93.6,219.1,78.68,2737.87,2511.66,2445.77
Gm25072,LC_DCT_LC_UP,131.3,127.13,164.22,109.2,101.05,1317.7,973.27,1199.63
Gm24979,LC_DCT_LC_UP,433.62,476.77,509.02,744.04,696.23,1782.19,2087.54,1396.28
Gm24809,LC_DCT_LC_UP,1.61,8.61,13.93,8.23,13.2,78.97,62.16,103.77
Gm24362,LC_DCT_LC_UP,1.29,4.55,5.8,2.82,3.36,28.72,25.2,24.47
Gm24303,LC_DCT_LC_UP,433.21,367.65,269.03,537.43,422.57,1220.24,1810.34,1379.88
Gm24081,LC_DCT_LC_UP,42.25,45.88,35.09,60.26,55.2,207.95,207.77,240.35
Gm23840,LC_DCT_LC_UP,144.99,48.75,142.27,200.63,156.23,1533.7,996.82,1524.03
Gm23833,LC_DCT_LC_UP,0,0.89,0.57,0.49,0.69,4.55,2.3,3.24
Gm23632,LC_DCT_LC_UP,74.85,49.63,90.21,236.52,128.38,592.31,668.86,610.44
Gm22906,LC_DCT_LC_UP,8.13,13.95,19.67,17.18,23.52,122.01,81.82,100.88
Gm22692,LC_DCT_LC_UP,121.89,88.9,25.49,90.86,28.63,441.72,314.01,279.5
Gm22662,LC_DCT_LC_UP,8.87,4.38,14.49,3.57,21.47,267.5,262.52,269.19
Gm22460,LC_DCT_LC_UP,27.79,92,85.19,134.12,152.13,301.5,375.92,356.39
Gm22411,LC_DCT_LC_UP,55.96,25.28,29.66,60.27,18.92,234.18,271.95,220.29
Gm22395,LC_DCT_LC_UP,10.9,0,16.38,12.2,28.15,72.45,92.07,104.99
Gm22002,LC_DCT_LC_UP,68.16,53.81,69.18,99.3,104.31,726.35,567.87,822.43
Gm20619,LC_DCT_LC_UP,0,0,0.04,0.02,0,3.22,2.66,4.13
Gm1818,LC_DCT_LC_UP,0.35,0.42,0.14,0.28,0.22,4.62,4.2,4.36
Gm17971,LC_DCT_LC_UP,1.54,1.25,1.17,2.6,2.12,20.07,26.27,21.8
Gm17455,LC_DCT_LC_UP,0.88,1.58,0.09,1.82,1.37,12.51,17.8,11.44
Gm17430,LC_DCT_LC_UP,0,0,0,0.9,0,4.91,6.42,5.05
Gm17334,LC_DCT_LC_UP,0.09,0,0.09,0.39,0.34,16.43,22.61,16.41
Gm17056,LC_DCT_LC_UP,0.19,0.12,0.38,0.37,0.32,12.04,11.02,10.25
Gm16617,LC_DCT_LC_UP,0.37,0.46,0.59,1.09,1.66,9.31,5.95,10
Gm16587,LC_DCT_LC_UP,0,0,0.21,0.16,0.1,3.07,3.25,4.68
Gm16310,LC_DCT_LC_UP,0,0,0.08,0.22,0,2.03,1.37,2.35
Gm16070,LC_DCT_LC_UP,0.07,0.05,0.31,0.09,0.04,3.16,3.43,3.57
Gm16016,LC_DCT_LC_UP,0.71,0,0.66,0.6,0.5,5.47,5.34,4.22
Gm15867,LC_DCT_LC_UP,2.51,3.48,1.09,3.72,4.76,15.59,15.44,16.88
Gm15788,LC_DCT_LC_UP,1.17,0.86,0.7,0.68,1.16,3.85,5.48,5.76
Gm15725,LC_DCT_LC_UP,0,0,0,3.55,0,21.89,30.06,19.05
Gm15716,LC_DCT_LC_UP,4.4,1.44,1.28,0.13,0,34.3,14.29,35.33
Gm15712,LC_DCT_LC_UP,0.47,0.17,0.27,1.28,1.45,5.97,5.54,5.52
Gm15662,LC_DCT_LC_UP,9186.08,8715.03,8407.24,9812.36,11047.6,82027.89,75198.58,82996.08
Gm15459,LC_DCT_LC_UP,0,0.93,1.02,0.03,0,107.69,140.77,118.58
Gm15270,LC_DCT_LC_UP,0.7,0.68,0.29,1.11,0.78,21.43,20.87,21.29
Gm14964,LC_DCT_LC_UP,1.23,0.76,0.39,3.69,4.77,14.57,10.57,18.14
Gm13541,LC_DCT_LC_UP,0,0,0,0,0,3.62,1.75,3.42
Gm13394,LC_DCT_LC_UP,0,0,1.14,1.33,0,896.38,1126.22,874.3
Gm13375,LC_DCT_LC_UP,0.78,0.37,0.19,1.72,1.01,8.19,11.66,9.17
Gm13111,LC_DCT_LC_UP,0,0,0.02,0.13,0.05,5.03,5.81,4.89
Gm12896,LC_DCT_LC_UP,1.39,0.56,0.35,0.64,0.88,5.66,6,7.43
Gm12895,LC_DCT_LC_UP,1.39,0.56,0.35,0.64,0.88,5.66,6,7.43
Gm12892,LC_DCT_LC_UP,0,0,0,0,0,6.17,10.49,7.07
Gm12866,LC_DCT_LC_UP,0.31,0.11,0.04,0.23,0.25,2.45,3.66,2.7
Gm12473,LC_DCT_LC_UP,0,0,0,0.09,0,2.11,1.87,2.21
Gm12439,LC_DCT_LC_UP,5.04,3.08,1.32,0.49,0,15.75,8.03,11.77
Gm12349,LC_DCT_LC_UP,0.97,1.55,0.13,0.68,0.78,7.57,6.35,6.11
Gm12295,LC_DCT_LC_UP,0,0,0.02,0.03,0.02,1.59,2.16,1.42
Gm12216,LC_DCT_LC_UP,0.91,1.5,0.73,5.01,3.89,10.68,12.78,14.21
Gm12092,LC_DCT_LC_UP,0.16,0,0.15,0.09,0.15,2.2,3.08,2.55
Gm12052,LC_DCT_LC_UP,0.09,0,0.09,0.56,0.74,5.77,5.07,6.02
Gm11942,LC_DCT_LC_UP,1.43,0,0.53,0,0,75.65,101.12,94
Gm11716,LC_DCT_LC_UP,7.73,2.81,1.44,1.04,2.15,32.66,26.56,27.04
Gm11611,LC_DCT_LC_UP,0.06,0.29,0.06,0.96,0.64,3.7,5.33,3.35
Gm11575,LC_DCT_LC_UP,0,1.5,1.04,0.79,1.2,6.29,11.23,10.84
Gm11517,LC_DCT_LC_UP,0.95,0,0.28,1.13,0.3,4.53,3.49,6.66
Gm11510,LC_DCT_LC_UP,0.38,0.47,0,0,0,2.47,2.2,3.46
Gm11273,LC_DCT_LC_UP,3.05,3.13,1.29,0,0,34.51,48.43,37.46
Gm11032,LC_DCT_LC_UP,111.27,72.46,148.21,131.67,121.22,691.6,430.5,833.37
Gm10491,LC_DCT_LC_UP,0,0,0,10.53,8.18,76.54,111.9,112.25
Gm10382,LC_DCT_LC_UP,0.12,0.16,0.06,0.26,0.35,5.3,5.41,6.03
Gm10243,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93
Gm10222,LC_DCT_LC_UP,851.69,844.25,1149.4,1405.54,1207.36,3635.59,3420.72,3761.69
Gm10073,LC_DCT_LC_UP,7.57,6.57,3.3,14.49,14.03,298.42,338.88,303.91
Glul,LC_DCT_LC_UP,27.11,28.85,27.94,31.48,32.43,94.88,79.21,77.43
Glis3,LC_DCT_LC_UP,0.11,0.13,0.25,0.26,0.18,4.66,5.27,3.83
Glis2,LC_DCT_LC_UP,1.65,1.95,1.06,5.92,5.21,19.15,21.11,18.26
Glipr1,LC_DCT_LC_UP,3.31,4.5,9.81,10.34,11.13,48.65,35.08,38.38
Glcci1,LC_DCT_LC_UP,2.98,4.97,10.63,2.26,2.49,32.7,20.3,25.81
Gkap1,LC_DCT_LC_UP,2.64,2.95,3.14,3.74,4.46,14.54,12.73,14.05
Gfpt2,LC_DCT_LC_UP,2.79,2.05,2.07,5.15,5.03,20.44,22.31,22.39
Gem,LC_DCT_LC_UP,4.55,2.98,3.38,9.15,8.14,38.5,40.48,41.5
Gdf6,LC_DCT_LC_UP,0.1,0.2,0.12,0,0.02,2.45,1.77,2.14
Gdf5,LC_DCT_LC_UP,0,0,0.03,0.43,0.46,74.34,85.07,69.93
Gdf15,LC_DCT_LC_UP,0.22,0.14,0,0.92,0.67,8.18,8.81,7.44
Gbe1,LC_DCT_LC_UP,4.67,3.03,3.04,8.03,7.84,23.86,16.82,23.11
Galr2,LC_DCT_LC_UP,1.15,1.4,0.75,0.95,0.94,31.53,40.12,29.08
