Gene_name,Gene_description,Stromal vehicle replicate 1,Stromal vehicle replicate 2,Stromal vehicle replicate 3,Stromal estrogen replicate 1,Stromal estrogen replicate 2,Stromal estrogen replicate 3,Der_JY01M004_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M005_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M006_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M001_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M002_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M003_(MoGene-2_0-st).Dermis.rma-gene-full-Signal
LOC432842,uncharacterized LOC432842,0.0089922,2.167665168,0.007730916,-0.215422038,0.024324311,0.056720147,6.301679,6.579114,6.347387,6.363166,6.475372,6.343733
LOC106740,uncharacterized LOC106740,0.819634198,0.82001492,1.236960277,0.953561475,0.875901982,0.470641872,7.595758,7.338244,7.456911,7.770896,7.851256,7.694386
LOC100504608,protein FAM119B-like,2.348828306,3.087677523,1.953995964,3.283831447,1.037941757,2.113038442,6.589344,7.170143,6.65914,7.356367,6.933331,6.80054
LOC100048185,transcription factor BTF3-like,-0.676441835,-0.041560868,-0.685219213,-1.333389493,-0.824839185,-0.759092501,5.226579,5.443572,5.464428,5.50621,5.696195,5.499342
LOC100047123,uncharacterized LOC100047123,-1.989526481,-1.713631229,-1.762846699,-1.926816174,-2.058430411,-1.93357076,6.747684,6.480835,6.479728,6.64988,6.846805,6.644108
LOC100045026,butyrophilin-like,0.146211302,0.047771007,-0.281761599,0.003273047,-0.190302571,-0.189412242,4.936738,5.071408,5.33347,4.994375,5.3291,5.092598
LOC100043315,uncharacterized LOC100043315,1.401448668,1.533000191,1.051854409,0.90501173,1.68539586,0.442102494,4.866678,5.103904,5.140285,5.0855,5.025961,4.926467
Lnx2,ligand of numb-protein X 2,0.613439277,1.295566962,0.054356629,1.620273247,1.536058366,1.61759636,8.505863,8.564442,8.550714,8.884654,8.592546,8.685265
Lnx1,ligand of numb-protein X 1,2.313588863,2.198887756,2.178694303,3.022259162,2.475339781,3.176031485,6.045708,6.234389,6.315546,6.115148,6.684508,6.288108
Lnpep,leucyl/cystinyl aminopeptidase,1.672441868,1.747142891,1.986218486,2.132416124,2.103561253,2.126758463,9.30081,8.742152,8.813538,8.88046,8.162537,8.434464
Lnp,limb and neural patterns,-1.56168655,-1.118284569,-2.332888969,-1.529813096,-1.38583876,-1.817595284,8.241865,8.362677,8.142214,8.347296,8.365396,8.120548
Lmx1b,LIM homeobox transcription factor 1 beta,-0.709623257,-2.065319245,-1.272394641,-0.146034597,-0.625584739,-1.511224403,7.316251,7.643603,7.560237,7.646892,7.807713,7.762658
Lmx1a,LIM homeobox transcription factor 1 alpha,4.043346629,3.636127196,2.695340053,2.107954465,5.755707179,4.203623483,5.75444,5.885701,6.026248,5.933435,5.939902,5.945041
Lmtk3,lemur tyrosine kinase 3,-0.996383432,-0.812968167,-1.004027185,-2.513125164,-1.587081941,-1.437303487,6.589352,6.602066,6.598898,6.605929,6.621189,6.610622
Lmtk2,lemur tyrosine kinase 2,1.721151819,1.859248772,1.295472899,2.031462593,1.910634266,1.454523646,9.649098,10.0134,9.679278,10.09181,10.21251,10.16343
Lmod3,leiomodin 3 (fetal),0.115559296,-0.689169517,-0.389613819,-0.710247608,-0.485527062,-0.505971114,5.436691,5.700916,5.516775,5.252899,5.373219,5.503847
Lmod2,leiomodin 2 (cardiac),-0.648721679,0.109693187,-0.565380862,-0.351249457,1.146335283,-0.458453399,5.952219,5.990653,5.873248,5.62506,5.870203,5.922904
Lmod1,leiomodin 1 (smooth muscle),0.69225887,0.195431527,0.131962133,0.241001562,0.372430079,1.485661316,6.373837,6.217004,6.259953,6.268889,6.77024,6.19056
Lmo7,LIM domain only 7,-0.981033995,-1.282492057,-0.73724968,-1.948542247,-3.363138907,-3.30563142,6.718142,5.745564,6.460096,6.502215,6.510756,6.282887
Lmo4,LIM domain only 4,-0.580468657,-1.071158712,-0.590167689,-0.434572097,-0.443119957,-1.181114631,10.77345,10.15732,10.57537,10.49952,10.16743,10.4356
Lmo3,LIM domain only 3,-0.753957562,0.158291837,-0.94227861,-0.554047734,0.287663039,-1.312854658,5.39638,5.319558,5.611554,5.116071,5.531489,5.428111
Lmo2,LIM domain only 2,-0.216684846,0.033676239,0.29673407,0.376587344,0.131516612,-0.262126014,7.397822,7.595565,7.465083,7.710073,7.596024,7.756779
Lmo1,LIM domain only 1,2.89561594,2.324923356,2.638283553,2.144039118,1.244845669,1.448511767,6.094205,6.225065,6.071246,6.08585,5.81081,5.994788
Lmnb2,lamin B2,-0.390739342,0.043114894,0.087409819,-0.279948522,-1.449217052,-2.130854618,7.981946,8.393876,8.11615,7.983051,7.977683,7.912769
Lmnb1,lamin B1,2.430518209,2.37969423,2.423320599,1.402993209,2.352489424,2.307380232,7.945266,7.775256,7.714471,7.90907,7.571814,7.752752
Lmna,lamin A,1.177055998,0.863343837,0.887867888,1.819984702,1.910482649,2.225985346,10.82655,10.36473,10.46846,10.37571,10.03221,10.16484
Lmln,leishmanolysin-like (metallopeptidase M8 family),-0.486140045,-0.198267156,0.57703654,-0.277403227,-0.447761201,-0.403456959,6.652395,6.752907,6.588235,6.595067,6.671099,6.526236
Lmf2,lipase maturation factor 2,0.245719594,0.335598872,-0.407586418,0.945325353,0.987969068,1.077806479,10.98319,10.31376,10.75344,10.23932,9.71575,9.852826
Lmf1,lipase maturation factor 1,-0.875103427,-0.749856383,-0.860665566,-0.371868954,-0.804537468,-0.266046987,9.542235,8.932276,9.400986,8.911264,8.629009,8.788835
Lmcd1,LIM and cysteine-rich domains 1,2.08295309,2.342932607,2.033011612,3.317243813,3.082820538,2.979498819,10.34487,11.57529,11.75962,9.928673,11.29012,10.27021
Lmbrd2,LMBR1 domain containing 2,0.494428475,2.036355731,1.780408265,0.71085896,1.329621413,-0.545914296,10.14579,10.32794,9.937164,10.38517,10.64021,10.3224
Lmbrd1,LMBR1 domain containing 1,1.020813485,1.131143518,0.907679456,1.201077712,1.152985015,1.406312936,11.19983,11.04056,10.99974,11.30943,11.6184,11.35454
Lmbr1l,limb region 1 like,-1.867420977,-1.756738669,-1.962406556,-1.571955301,-2.778825465,-1.616935167,9.193569,8.429832,8.880762,9.077175,8.840863,9.069235
Lmbr1,limb region 1,0.399486468,-0.39610542,2.813962017,2.101862205,3.771580772,3.430464117,8.091333,8.13508,8.021484,7.595802,7.687769,7.503851
Lman2l,"lectin, mannose-binding 2-like",-2.711221511,-1.590519077,-1.305790374,-0.892586347,-1.413757591,-0.931663817,7.022346,7.252099,6.979822,6.884873,7.05274,6.961407
Lman2,"lectin, mannose-binding 2",0.194312294,-0.379850848,0.029405626,0.628149993,0.770875144,0.088818772,11.7731,11.86085,11.94249,11.69394,11.70265,11.614
Lman1l,"lectin, mannose-binding 1 like",-1.484023369,-1.009646124,-1.150672213,-1.059588531,-1.119885333,-1.402637559,6.558505,6.94137,6.968462,6.976849,6.965858,7.053091
Lman1,"lectin, mannose-binding, 1",1.239332739,1.38957511,1.347951343,1.867128165,1.873192086,2.243611842,11.42758,11.24016,11.33117,11.09513,10.87871,10.9516
Llph,"LLP homolog, long-term synaptic facilitation (Aplysia)",1.368758606,1.789566474,1.627931356,1.640171216,1.478086007,1.998665344,6.857621,7.822313,7.569101,7.581722,7.850981,7.657318
Llgl2,lethal giant larvae homolog 2 (Drosophila),-3.086350038,-2.299866794,-2.255392631,-1.863680662,-2.095626373,-0.967260348,7.240223,7.459432,7.304436,7.216836,7.40008,7.167922
Llgl1,lethal giant larvae homolog 1 (Drosophila),0.282196612,0.376115257,0.357653467,2.083282135,1.13377819,0.30966068,9.475434,9.546906,9.350177,9.330501,8.983456,9.093374
Lix1l,Lix1-like,1.398060085,1.707573433,1.427649057,2.115070082,2.151018217,1.911004228,12.00581,10.81205,11.38062,11.30441,10.19177,10.80391
Lix1,limb expression 1 homolog (chicken),2.840345914,0.525339258,2.150035832,3.289508754,4.467422342,3.542302727,5.571158,5.631151,5.545917,5.193849,5.681376,5.963661
Litaf,LPS-induced TN factor,1.839504816,2.07601583,2.01433819,2.032988483,2.234105205,2.467462827,8.704759,8.574583,8.541531,8.604758,8.756172,8.699707
Lipt2,lipoyl(octanoyl) transferase 2 (putative),0.568189873,-0.8767339,-1.104578696,-0.962399451,-0.992834861,-1.427324015,9.13827,9.174839,9.177237,9.233139,9.078727,8.98388
Lipt1,lipoyltransferase 1,2.039924963,1.967852082,1.774142162,1.483468299,2.106157081,3.031460041,6.622777,6.737184,6.595016,6.479528,6.842193,6.596858
Lipo1,"lipase, member O1",2.028909423,0.777425212,2.368012401,2.210460114,3.061151927,3.133088481,6.580731,6.601615,6.428031,6.89564,6.456333,6.769098
Lipn,"lipase, family member N",-0.709606836,-0.931889108,-0.696540559,-1.064781536,-0.372916384,-0.479243285,4.74847,4.848318,4.790354,4.706043,4.770555,4.738523
Lipm,"lipase, family member M",0.171936625,0.088096502,-0.526119069,0.123296191,-0.191689653,0.056820153,5.267039,5.401227,5.565786,5.47752,5.428283,5.521834
Lipk,"lipase, family member K",0.22277776,0.427969792,0.183997761,0.232383305,-0.003294812,0.361761943,4.177902,4.622378,4.144116,4.728642,4.472251,4.419399
Lipi,"lipase, member I",0.102410907,-0.08181932,-0.158817608,-0.276171101,-0.113213275,0.919562996,3.810798,3.990622,4.291101,3.852094,4.193426,3.930303
Liph,"lipase, member H",1.457494884,0.096626005,0.651595561,1.289721091,1.306206631,2.05731711,5.986921,5.847686,5.694051,5.773235,6.568065,5.890164
Lipg,"lipase, endothelial",0.623215854,1.237809281,0.786433182,3.621066308,5.115516942,0.42413611,7.195245,6.868607,7.126186,6.623845,6.88163,6.270317
Lipf,"lipase, gastric",-0.017659791,-0.196537576,0.411922628,0.416699986,-0.118034159,-0.335292129,3.916216,3.899792,4.00334,3.809653,3.931229,3.90551
Lipe,"lipase, hormone sensitive",-5.56415168,-5.528338945,-5.042193566,-5.650778606,-5.31552319,-5.263368754,7.577329,7.261921,7.407837,7.481909,7.257389,7.439367
Lipc,"lipase, hepatic",-0.565819556,-1.513367728,-0.839665264,-1.013042113,-0.76244376,0.649413604,6.041224,6.156788,6.10341,6.118444,6.18633,6.189507
Lipa,lysosomal acid lipase A,0.346772523,0.483030516,0.383276458,0.471071185,0.129501199,0.420643208,10.50573,9.356642,10.03787,9.30434,8.896934,9.249437
Lins,lines homolog (Drosophila),1.521453308,1.119169495,1.003790148,1.814587523,1.58831421,1.838899151,8.482697,9.067152,8.853369,8.787832,8.91339,8.810895
Lingo4,leucine rich repeat and Ig domain containing 4,0.117646004,-0.155000564,0.139942429,-0.129080604,-0.642073358,-0.170040699,6.854791,6.833547,6.879264,6.766966,7.080509,7.129326
Lingo3,leucine rich repeat and Ig domain containing 3,-1.237415133,-1.184087988,-1.198784571,-1.023672148,-0.950920846,-1.340342753,6.781117,7.082064,6.910848,6.813933,7.142092,7.062812
Lingo2,leucine rich repeat and Ig domain containing 2,-0.074097056,-0.109622045,0.063896814,-0.656817266,-0.264812195,-0.081271881,5.366823,5.485504,5.400379,5.415116,5.543638,5.487501
Lingo1,leucine rich repeat and Ig domain containing 1,0.345359663,-0.536730815,-0.507980697,0.800956303,0.107942946,0.135088325,6.375894,7.04158,6.526949,5.774605,6.320292,6.129192
Lin9,lin-9 homolog (C. elegans),2.089158413,3.066860792,2.033790999,3.387340944,2.917668985,2.061103628,8.394869,8.207985,8.122618,8.789174,8.429386,8.746451
Lin7c,lin-7 homolog C (C. elegans),1.882009374,2.136185926,1.934130651,2.210128489,1.918248481,2.327405132,11.51358,11.82375,11.67912,11.96175,12.06217,11.94773
Lin7b,lin-7 homolog B (C. elegans),-0.322217282,-0.455102351,-0.170068711,-0.01103048,-0.455955879,-0.68289823,6.897254,7.118443,6.841477,6.727895,7.210635,6.808691
Lin7a,lin-7 homolog A (C. elegans),-3.036919717,-3.518050759,-2.343760247,-4.292241671,-4.06112195,-3.718669326,6.407717,6.120949,6.449936,6.257247,6.371192,6.28354
Lin54,lin-54 homolog (C. elegans),1.582147124,1.980780844,1.60167267,1.766635809,2.043226362,1.72370556,9.163609,9.020603,8.822914,9.153896,9.274021,9.256798
Lin52,lin-52 homolog (C. elegans),-0.054916883,0.256052812,0.330694155,-0.278326246,0.011324861,0.03748871,9.491957,9.710034,9.618593,9.841471,9.968893,9.856431
Lin37,lin-37 homolog (C. elegans),-1.240806201,-0.809944401,-1.204573988,-0.526200948,-0.676916004,-0.451050476,8.861247,8.38547,8.605287,8.533648,8.026429,8.224049
Lin28b,lin-28 homolog B (C. elegans),-0.031641431,-0.231670841,-0.08394147,0.098525461,-0.020088748,-0.100663402,4.98685,5.177669,4.943648,4.895773,5.344023,5.07697
Lin28a,lin-28 homolog A (C. elegans),1.235099268,-0.305618944,0.382458066,-0.16289238,0.320729417,-0.0218906,6.882413,7.0064,6.923862,7.036531,7.36342,7.103146
Lims2,LIM and senescent cell antigen like domains 2,-0.24453418,-0.592040245,-0.659736342,-0.176540504,-0.727660209,-0.413366267,7.467402,7.884235,7.866113,8.457277,8.745905,8.501212
Lims1,LIM and senescent cell antigen-like domains 1,0.064027834,0.070658925,-0.027432019,0.842011297,0.729168733,0.897879907,9.097766,9.162566,9.252666,9.100613,8.971383,8.995296
Limk2,LIM motif-containing protein kinase 2,0.690284326,0.487837838,0.508097268,2.297538774,-0.14772136,0.457124255,7.180246,7.04546,7.088893,7.373388,7.29769,7.378547
Limk1,"LIM-domain containing, protein kinase",-1.402397017,-1.151028184,-0.998625527,-0.857157323,-0.818887651,-1.125269688,10.12399,9.05628,9.613499,9.190931,8.499002,8.850589
Lime1,Lck interacting transmembrane adaptor 1,0.109466413,-0.04144062,0.215241519,-0.055940414,1.699704825,0.277847844,7.761232,7.913195,7.959817,8.061552,7.922707,8.207521
Limd2,LIM domain containing 2,-4.685977034,-5.348535722,-4.975254302,-5.922236002,-6.283290299,-6.369804493,7.584117,6.879527,7.537412,7.648742,6.85148,7.454679
Limd1,LIM domains containing 1,0.792468159,0.824757289,0.844383982,0.47508181,0.559944306,0.608872858,10.41733,11.27548,10.94237,10.92931,11.59175,11.35808
Limch1,LIM and calponin homology domains 1,-2.76907108,-3.369303796,-2.656318715,-1.569073818,-2.956125712,-4.009202063,6.04647,6.04757,6.200149,6.012769,5.948112,6.017013
Lima1,LIM domain and actin binding 1,1.239997152,1.385530989,1.204951472,1.661438189,1.827244257,1.711142986,10.1608,10.56637,10.59044,10.43141,11.13868,10.80441
Lim2,lens intrinsic membrane protein 2,-1.278966033,-0.994258229,-0.817340313,-1.245568193,-0.487829756,-0.091244755,6.03456,5.91393,5.95484,6.051969,5.990303,5.992595
Lilrb4,"leukocyte immunoglobulin-like receptor, subfamily B, member 4",-1.483235735,-0.514802851,-1.661181683,-0.535857541,0.535832039,-0.262103292,5.592271,6.779064,5.334834,8.466473,8.827826,7.945877
Lilra5,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5",-0.016045431,0.143589423,0.040888036,0.129020389,-0.187403685,-0.078132393,5.329437,5.475477,5.526937,5.463491,5.6881,5.864725
Lig4,"ligase IV, DNA, ATP-dependent",2.017034618,0.896005919,0.293816673,0.483212575,1.494966445,0.763286641,7.882363,8.034116,7.947475,7.925545,7.939642,7.758719
Lig3,"ligase III, DNA, ATP-dependent",-2.284787541,-3.024384257,-2.44045047,-2.176363822,-2.720130489,-2.483447561,9.451111,9.5758,9.461894,9.405343,9.356659,9.275084
Lig1,"ligase I, DNA, ATP-dependent",-0.562799651,-1.693755603,-0.824292201,-1.139538672,-0.394790205,-0.63922915,8.052131,7.147674,7.490993,7.546845,6.966869,6.987402
Lifr,leukemia inhibitory factor receptor,-2.29586065,-1.870120668,-2.418059677,-3.936451846,-2.664227335,-4.740635481,10.40519,9.533797,9.934987,9.907995,9.053154,9.733756
Lif,leukemia inhibitory factor,2.658215267,2.685300864,2.553844366,3.108256979,4.301248326,3.969695916,11.32213,12.8555,12.15891,12.3481,13.06738,12.6507
Lias,lipoic acid synthetase,-0.52601517,0.371109349,-0.220886301,0.515362372,0.133432063,0.266865902,8.887672,8.495047,8.541495,8.527027,8.11327,8.238256
Lhx9,LIM homeobox protein 9,-0.294568198,-0.210669345,0.569387091,-0.251749843,-0.074666973,-0.120310416,5.365971,5.543084,5.081172,5.354163,5.996475,5.516956
Lhx8,LIM homeobox protein 8,2.471697107,3.119163238,2.096578279,3.645834365,2.80320517,1.006617914,5.479211,5.691251,5.403311,6.103147,6.503986,6.332863
Lhx6,LIM homeobox protein 6,-0.08096303,-0.002760255,-0.272402875,0.13856769,-0.019255476,-0.123946631,7.565402,7.341503,7.462805,7.498203,7.398344,7.359989
Lhx5,LIM homeobox protein 5,-0.056005528,-0.558856486,-0.491312685,0.090707773,-0.068593993,-0.277221407,5.000977,5.493404,5.001412,5.327018,5.691818,5.259079
Lhx4,LIM homeobox protein 4,-0.014405912,0.1901849,-0.02631241,0.233683744,-0.228084707,-0.629980373,7.01251,7.087783,6.986947,6.867776,7.184425,6.852887
Lhx3,LIM homeobox protein 3,2.584850647,0.464724808,3.530974379,1.020588313,4.59187296,3.100181171,6.075913,6.14647,6.240864,6.149557,6.465017,6.478502
Lhx2,LIM homeobox protein 2,-1.867113912,-0.333078367,-1.824285414,-1.236341639,-1.900462216,-1.737231902,6.688116,6.911749,6.644361,6.983724,6.905359,6.828216
Lhx1,LIM homeobox protein 1,-1.061844845,-1.103647357,-1.262740417,-0.49999399,-0.851088939,-0.853487683,6.349683,6.524229,6.296482,6.342789,6.624714,6.571868
Lhpp,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,0.851619569,1.41058793,1.720515243,2.48859665,3.51131805,3.277774276,8.190847,8.308808,8.152074,7.919337,7.933969,7.529412
Lhfpl5,lipoma HMGIC fusion partner-like 5,-0.682000846,0.183848712,-0.256633632,-1.606030629,0.844193299,0.548985532,5.168281,5.212742,5.276196,5.333866,5.443704,5.215724
Lhfpl4,lipoma HMGIC fusion partner-like protein 4,0.339714523,2.017269974,0.902001551,2.821831595,0.504476834,3.083251255,7.553304,7.515501,7.322586,7.42677,7.131531,7.272531
Lhfpl3,lipoma HMGIC fusion partner-like 3,1.726137325,0.782462921,0.628393898,3.438464849,3.900050154,3.309122361,5.218977,5.239801,5.569199,5.10071,5.218307,5.090475
Lhfpl2,lipoma HMGIC fusion partner-like 2,3.698817973,0.842645923,3.64518684,0.2475181,0.320929401,0.658763734,9.248739,8.998736,9.180605,9.238271,9.182037,9.220078
Lhfpl1,lipoma HMGIC fusion partner-like 1,-0.273957845,-0.071825945,0.1250196,0.010107563,-0.146949589,0.135416479,6.200903,5.739736,6.092291,6.000062,6.231767,5.969595
Lhfp,lipoma HMGIC fusion partner,0.770648097,0.133495278,0.451523743,0.842442705,1.429588683,0.967628542,11.02849,10.87762,11.04328,11.1037,11.08585,11.09317
Lhcgr,luteinizing hormone/choriogonadotropin receptor,-0.767293297,-0.836096237,0.789944512,-0.807397525,-0.868578473,-0.707860499,4.167379,4.484144,4.14753,3.846714,4.156345,4.298521
Lhb,luteinizing hormone beta,-1.866652744,-1.351113939,-1.344009798,-2.160322793,-1.880266503,-2.119517511,6.522502,6.757554,6.751322,6.60513,6.897587,6.667583
Lgsn,"lengsin, lens protein with glutamine synthetase domain",0.086506414,0.155733164,0.147074419,0.300625431,0.21692012,0.127669678,5.669384,5.796577,5.561069,5.672677,5.842899,5.583243
Lgr6,leucine-rich repeat-containing G protein-coupled receptor 6,-1.054901407,-0.773820912,-1.350073537,1.146368417,1.843836351,-1.35610775,7.789441,7.716047,7.672761,7.177121,7.611261,7.119505
Lgr5,leucine rich repeat containing G protein coupled receptor 5,0.825634868,0.056980083,-0.07541981,0.222769094,-0.075358308,0.14789334,6.762761,6.116654,6.348255,6.857013,6.629331,6.715358
Lgr4,leucine-rich repeat-containing G protein-coupled receptor 4,0.271635214,1.733087868,-0.45985213,0.837664223,1.562909876,-1.051059084,9.349714,9.56583,9.234949,10.00694,9.938812,9.798168
Lgmn,legumain,0.066441738,-0.431995711,0.159128786,0.449662748,0.773312108,0.997624546,10.15398,9.156378,9.554081,8.905128,8.805422,8.804612
Lgi4,"leucine-rich repeat LGI family, member 4",-0.34901178,-0.35341262,-0.725423774,-0.062058803,-0.485158078,-1.188675856,6.415305,6.797966,6.759174,6.368846,6.900235,6.831554
Lgi3,"leucine-rich repeat LGI family, member 3",-0.311629204,-0.690871061,-0.317430215,0.422306983,-0.466552443,-0.111722209,7.023025,6.795701,7.266062,6.564701,6.806762,6.727718
Lgi2,"leucine-rich repeat LGI family, member 2",2.233725109,2.434480879,2.328545564,2.306345075,2.799475837,2.689227438,7.842278,7.114897,7.338725,6.874175,6.802474,6.692726
Lgi1,"leucine-rich repeat LGI family, member 1",-1.346270218,0.070657415,-1.233749205,-1.206279107,-0.766041027,0.969922352,4.811604,5.77838,6.163882,5.967608,7.697955,6.084185
Lgals9,"lectin, galactose binding, soluble 9",1.625607998,1.970661908,1.997667189,2.209141568,2.279652155,2.06274603,11.22707,10.81166,11.17964,11.07971,11.3305,11.26763
Lgals8,"lectin, galactose binding, soluble 8",0.45534002,0.320196025,0.57567649,-0.012025163,0.326117931,0.37990234,10.49106,10.21335,10.34891,10.38145,10.56723,10.37545
Lgals7,"lectin, galactose binding, soluble 7",0.325096503,-0.453481912,-0.073311811,-0.058756554,-0.061546457,-0.789103257,6.405949,6.233686,5.982123,6.353278,6.351189,6.346799
Lgals4,"lectin, galactose binding, soluble 4",0.145565023,0.685066052,0.969010793,0.803795871,0.546170724,0.509967859,6.347973,6.527417,6.571834,6.313736,6.825733,6.667463
Lgals3bp,"lectin, galactoside-binding, soluble, 3 binding protein",0.323810968,0.170448951,0.34690492,0.720549792,0.982684533,1.100850673,11.28706,10.87774,10.96096,11.42836,11.28211,11.06363
Lgals3,"lectin, galactose binding, soluble 3",1.289191887,1.168918871,0.784836063,1.702714366,1.971746064,1.785773544,10.81729,10.70383,10.68547,10.60915,10.62141,10.63106
Lgals2,"lectin, galactose-binding, soluble 2",2.833419116,3.019838982,3.335218297,2.82532478,3.279701649,0.554141835,5.060671,5.40488,5.430786,5.31559,5.402298,5.529141
Lgals12,"lectin, galactose binding, soluble 12",2.486533108,2.873529299,2.545055393,0.583650879,2.718274055,1.059394394,5.495122,5.571637,5.542681,5.647432,5.736073,5.621219
Lgals1,"lectin, galactose binding, soluble 1",0.117648665,-0.057837238,0.144653126,1.107968139,0.97906837,1.043872703,13.57003,13.08867,13.47419,13.18748,12.79489,12.84845
Lfng,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,-2.250959917,-2.005898422,-1.972463138,-2.067782261,-2.389746846,-2.747829629,7.717905,7.945491,8.245172,7.711138,7.640514,7.582345
Letmd1,LETM1 domain containing 1,-0.850973213,-0.762878549,-1.478083396,-0.649027123,-1.013045783,-0.765904948,10.31371,10.11813,10.15043,10.24678,9.675312,9.850814
Letm2,leucine zipper-EF-hand containing transmembrane protein 2,-1.759723244,-2.191609972,-1.830416685,-2.782922831,-3.031879025,-2.812844431,7.852544,7.411888,7.556115,7.191826,6.835247,7.392262
Letm1,leucine zipper-EF-hand containing transmembrane protein 1,-0.106199583,-0.073544942,0.033235462,0.290689716,0.161491426,0.515920583,10.08532,10.11872,10.01275,10.12737,9.706615,9.694434
Leprotl1,leptin receptor overlapping transcript-like 1,-0.271286711,-0.235078731,0.117026518,0.437702753,0.223143429,0.29163587,10.71337,11.07219,10.96856,10.82317,11.17162,10.73868
Leprot,leptin receptor overlapping transcript,0.78252835,0.481306157,0.547511123,0.547371699,0.748519617,0.763874562,10.40172,10.03374,10.18318,9.828028,9.540282,9.700238
Leprel4,leprecan-like 4,-0.537993212,-1.400972069,-0.120331927,0.257852889,0.079044784,0.10920452,9.918435,9.615839,9.623129,9.292376,8.670722,8.899786
Leprel2,leprecan-like 2,1.550369107,1.437174412,1.437014316,1.834364673,2.427313451,2.066311752,10.44576,10.09659,10.55503,9.939757,9.29608,10.05972
Leprel1,leprecan-like 1,-0.976197144,-1.165285956,-1.049891843,-1.778403878,-0.453809676,0.752641807,6.797466,7.064537,6.834001,8.127347,7.242399,7.804129
Lepre1,leprecan 1,-3.962718276,-5.260598477,-4.092497782,-3.74961447,-2.600823787,-4.571840953,9.807903,9.097321,9.644682,9.307449,9.045318,9.166899
Lepr,leptin receptor,4.034670754,0.69408684,0.727198285,2.509477366,4.320003955,1.410644442,7.384869,8.016752,8.279766,7.081571,7.504282,8.298094
Lep,leptin,0.775213237,0.338530292,0.349394225,0.103884834,0.298177011,0.358790027,5.366672,4.667386,5.018645,4.804541,5.089262,4.951095
Leo1,"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",0.954028959,0.724561368,0.323656025,0.803455023,0.354791015,0.525480571,8.418271,8.669076,8.465886,8.892567,8.587635,8.681599
Leng9,leukocyte receptor cluster (LRC) member 9,0.136248639,-0.558118931,0.888014067,1.194980273,0.941996393,1.043456531,9.441365,9.023527,9.168782,9.700995,9.133436,9.283759
Leng8,leukocyte receptor cluster (LRC) member 8,2.05536303,2.656394352,1.967158343,0.716897897,0.604664036,-0.686484086,10.75454,9.97476,10.43109,10.68496,10.06047,10.7127
Leng1,leukocyte receptor cluster (LRC) member 1,0.716769169,1.382222399,0.354736079,0.860069317,0.547770874,1.519635649,8.147985,8.165522,8.222484,8.424561,8.365819,8.245807
Lenep,lens epithelial protein,0.899236825,0.48183149,0.747195477,0.156569345,0.045993885,-0.476050525,7.706974,7.825866,7.911078,7.763139,7.539259,7.760901
Lemd3,LEM domain containing 3,2.660433935,2.62089437,2.238155758,2.766346116,5.759861581,4.376823478,10.10609,9.987029,9.981059,10.03084,9.86938,9.988708
Lemd2,LEM domain containing 2,-0.362213184,-0.621670726,-0.744940349,-0.10138652,0.183578005,0.109686201,11.47037,11.65642,11.46576,11.52946,11.32906,11.442
Lelp1,late cornified envelope-like proline-rich 1,-6.765529113,-5.77949665,-5.720365486,-7.7480272,-7.157759925,-7.563174703,4.910878,4.882669,4.976305,4.854243,4.821581,5.03922
Lekr1,"leucine, glutamate and lysine rich 1",3.227937734,-1.282699114,2.64782893,3.543435362,0.981078302,3.387511773,5.268078,5.539775,5.431077,6.026179,6.228162,5.995651
Lefty2,left-right determination factor 2,-0.383083089,-0.416423783,0.360516749,-0.092826811,-0.226587574,-0.321373039,5.820507,6.097332,5.957001,5.968804,6.027892,5.794395
Lefty1,left right determination factor 1,0.357928605,1.954761665,1.5461212,2.832823648,3.358499892,3.129274213,7.699099,7.758596,7.725633,7.576861,7.647807,7.617724
Lef1,lymphoid enhancer binding factor 1,-2.930293783,-2.718686988,-2.192851037,-2.297872422,-1.136895192,-2.988820627,6.564191,6.964069,6.773094,7.217744,7.296601,7.245252
Lect2,leukocyte cell-derived chemotaxin 2,-0.309469727,0.056115932,-0.575913377,0.309029785,-0.780128574,-0.647761054,5.111744,5.415799,5.307524,5.600276,5.296538,5.520109
Lect1,leukocyte cell derived chemotaxin 1,3.016037192,3.583217592,3.211938737,4.683116379,5.129387305,4.753883724,5.215582,5.305722,4.789068,4.830147,5.30406,5.454757
Leap2,liver-expressed antimicrobial peptide 2,-0.52888485,-0.265890095,0.443035118,-0.687957111,-0.658663772,0.805448186,3.832193,4.27981,3.906131,3.693437,3.938083,4.08257
Ldoc1l,"leucine zipper, down-regulated in cancer 1-like",2.104582912,-0.86437558,-0.830082775,-0.08877048,1.339545235,0.960062512,7.100048,7.345312,7.204257,7.574144,7.271005,7.202723
